ID,Sesion,Nivel,Intento,Fecha,Tiempo,Evento
10,1,1,6,2025-11-06,15:17:25.689,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:38.810,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:42.676,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:50.104,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:54.243,Planificacion guardada
10,1,1,6,2025-11-06,15:17:54.460,Hora salida seleccionada
10,1,1,6,2025-11-06,15:17:56.425,Empieza pregunta y decision
10,1,1,6,2025-11-06,15:17:56.425,Pregunta parada
10,1,1,6,2025-11-06,15:18:00.226,Termina pregunta y decision
10,1,1,6,2025-11-06,15:18:00.245,Respuesta parada No
10,1,1,6,2025-11-06,15:18:04.885,Empieza pregunta y decision
10,1,1,6,2025-11-06,15:18:04.885,Pregunta dormir
10,1,1,6,2025-11-06,15:18:11.347,Termina pregunta y decision
10,1,1,6,2025-11-06,15:18:11.348,Respuesta dormir Si
10,1,1,6,2025-11-06,15:18:11.348,Empieza a dormir
10,1,1,6,2025-11-06,15:18:16.379,Empieza a dormir
10,1,1,6,2025-11-06,15:18:22.613,Empieza pregunta y decision
10,1,1,6,2025-11-06,15:18:22.613,Pregunta dormir
10,1,1,7,2025-11-06,15:18:37.553,Inicio juego
10,1,1,7,2025-11-06,15:18:37.556,Reglas incumplidas
10,1,1,7,2025-11-06,15:18:45.094,Reglas incumplidas
10,1,1,7,2025-11-06,15:18:45.163,Reglas incumplidas
10,1,1,7,2025-11-06,15:18:49.162,Reglas incumplidas
10,1,1,7,2025-11-06,15:18:57.501,Reglas incumplidas
10,1,1,7,2025-11-06,15:19:07.989,Reglas incumplidas
10,1,1,7,2025-11-06,15:19:10.056,Reglas incumplidas
10,1,1,7,2025-11-06,15:19:12.256,Reglas incumplidas
10,1,1,7,2025-11-06,15:19:14.422,Reglas incumplidas
10,1,1,7,2025-11-06,15:19:20.122,Reglas incumplidas
10,1,1,7,2025-11-06,15:19:21.821,Reglas incumplidas
10,1,1,7,2025-11-06,15:19:23.155,Reglas cumplidas
10,1,1,7,2025-11-06,15:19:49.176,Planificacion guardada
10,1,1,7,2025-11-06,15:19:49.385,Hora salida seleccionada
